epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
69,198.841,0.70021,1.03289,0.60485,0.94248,0,0.87783,0.73996,0.80911,0.62831,0.80742,0.68911,0.72278,0.51749,0.85449,1.36382,0.77835,0.91915,0,0.0004085,0.0004085,0.0004085
70,201.769,0.68876,0.98865,0.57825,0.92989,0,0.90024,0.72496,0.8062,0.62708,0.86066,0.67076,0.72598,0.51384,0.85648,1.37685,0.77243,0.91492,0,0.000396125,0.000396125,0.000396125
71,204.768,0.6899,1.0352,0.59358,0.93824,0,0.88705,0.74699,0.8115,0.6348,0.81217,0.69207,0.72854,0.50534,0.83285,1.39718,0.74831,0.90252,0,0.00038375,0.00038375,0.00038375
72,207.757,0.70146,1.03612,0.59914,0.94493,0,0.86855,0.76129,0.81398,0.6374,0.80905,0.69753,0.72732,0.502,0.82007,1.40871,0.72736,0.89824,0,0.000371375,0.000371375,0.000371375
73,210.784,0.67107,0.99209,0.57226,0.92544,0,0.86104,0.77225,0.8194,0.65214,0.78867,0.71709,0.72003,0.51201,0.82097,1.38828,0.71886,0.89972,0,0.000359,0.000359,0.000359
74,213.842,0.68194,1.03537,0.57805,0.93166,0,0.85747,0.77697,0.81861,0.65182,0.78203,0.71936,0.71944,0.51737,0.83074,1.3217,0.73063,0.90171,0,0.000346625,0.000346625,0.000346625
75,216.869,0.64996,0.96476,0.55745,0.93971,0,0.89914,0.74226,0.81431,0.64365,0.86864,0.66358,0.72547,0.51931,0.83358,1.31531,0.72176,0.9111,0,0.00033425,0.00033425,0.00033425
76,219.87,0.68585,0.94687,0.57806,0.95155,0,0.86857,0.77131,0.82188,0.64445,0.80013,0.70862,0.73554,0.52064,0.85307,1.31288,0.73052,0.91352,0,0.000321875,0.000321875,0.000321875
77,222.855,0.68439,0.95751,0.56676,0.93417,0,0.85454,0.76514,0.81938,0.64226,0.81171,0.68877,0.73098,0.50838,0.82193,1.3306,0.72723,0.90085,0,0.0003095,0.0003095,0.0003095
78,225.815,0.64061,0.95675,0.55844,0.92155,0,0.88514,0.75821,0.81474,0.64255,0.82122,0.6989,0.73433,0.51455,0.81772,1.34208,0.72067,0.90249,0,0.000297125,0.000297125,0.000297125
79,228.819,0.63964,0.91069,0.53619,0.92124,0,0.90926,0.74535,0.81828,0.64552,0.84269,0.69217,0.73584,0.52514,0.82302,1.30235,0.70975,0.90724,0,0.00028475,0.00028475,0.00028475
